District_name,Learning_Modality,Operational_Schools,Student_Count,City,State,Start_date
Magnolia Union Elementary,In Person,1,131,Brawley,CA,2022-12-25
Mammoth Unified,In Person,4,1189,Mammoth Lakes,CA,2022-12-25
Manteca Unified,In Person,29,23834,Manteca,CA,2022-12-25
Manzanita Elementary,In Person,1,296,Gridley,CA,2022-12-25
Maple Creek Elementary,In Person,1,9,Korbel,CA,2022-12-25
Marcum-Illinois Union Elementary,In Person,1,185,East Nicolaus,CA,2022-12-25
Oakland Unified,In Person,85,36154,Oakland,CA,2022-12-25
Oakley Union Elementary,In Person,9,5194,Oakley,CA,2022-12-25
Ocean View,In Person,14,7721,Huntington Beach,CA,2022-12-25
Ocean View,In Person,5,2452,Oxnard,CA,2022-12-25
Oceanside Unified,In Person,24,17223,Oceanside,CA,2022-12-25
Ojai Unified,In Person,9,2366,Ojai,CA,2022-12-25
Ontario-Montclair,In Person,32,20147,Ontario,CA,2022-12-25
Orange Center,In Person,1,336,Fresno,CA,2022-12-25
Orange Unified,In Person,41,26265,Orange,CA,2022-12-25
Orchard Elementary,In Person,1,853,San Jose,CA,2022-12-25
Orcutt Union Elementary,In Person,9,5082,Orcutt,CA,2022-12-25
Orick Elementary,In Person,1,15,Orick,CA,2022-12-25
Orinda Union Elementary,In Person,5,2568,Orinda,CA,2022-12-25
Oro Grande,In Person,2,2549,Oro Grande,CA,2022-12-25
Oroville City Elementary,In Person,7,2381,Oroville,CA,2022-12-25
Oroville Union High,Hybrid,4,2237,Oroville,CA,2022-12-25
Owens Valley Unified,In Person,2,83,Independence,CA,2022-12-25
Oxnard,In Person,21,15730,Oxnard,CA,2022-12-25
Oxnard Union High,In Person,10,16839,Oxnard,CA,2022-12-25
Pacheco Union Elementary,In Person,2,651,Redding,CA,2022-12-25
Salida Union Elementary,In Person,6,2362,Salida,CA,2022-12-25
Salinas City Elementary,In Person,14,8566,Salinas,CA,2022-12-25
Salinas Union High,In Person,12,16257,Salinas,CA,2022-12-25
San Ardo Union Elementary,In Person,1,114,San Ardo,CA,2022-12-25
San Benito High,In Person,2,3188,Hollister,CA,2022-12-25
San Bernardino City Unified,In Person,75,48755,San Bernardino,CA,2022-12-25
San Bruno Park Elementary,In Person,6,2454,San Bruno,CA,2022-12-25
San Carlos Elementary,In Person,9,3021,San Carlos,CA,2022-12-25
San Diego Unified,In Person,176,102270,San Diego,CA,2022-12-25
San Dieguito Union High,In Person,10,13177,Encinitas,CA,2022-12-25
San Francisco Unified,In Person,114,52811,San Francisco,CA,2022-12-25
San Gabriel Unified,In Person,8,4947,San Gabriel,CA,2022-12-25
San Jacinto Unified,In Person,14,10142,San Jacinto,CA,2022-12-25
San Jose Unified,In Person,42,28830,San Jose,CA,2022-12-25
San Juan Unified,In Person,68,39740,Carmichael,CA,2022-12-25
San Leandro Unified,In Person,12,9067,San Leandro,CA,2022-12-25
San Lorenzo Unified,In Person,17,9806,San Lorenzo,CA,2022-12-25
San Lorenzo Valley Unified,In Person,6,2585,Ben Lomond,CA,2022-12-25
San Lucas Union Elementary,In Person,1,75,San Lucas,CA,2022-12-25
San Luis Coastal Unified,In Person,16,7638,San Luis Obispo,CA,2022-12-25
Sylvan Union Elementary,In Person,13,8203,Modesto,CA,2022-12-25
Taft Union High,In Person,2,1047,Taft,CA,2022-12-25
Tahoe-Truckee Unified,In Person,11,3981,Truckee,CA,2022-12-25
